GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VadereState,org.vadere.state.types,PedestrianAttitudeType,15,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.types,MovementType,21,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.types,CacheType,0,21,0,0,0,2,0,1,0,1
VadereState,org.vadere.state.types,IdentityType,21,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.types,OptimizationType,63,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.types,DynamicElementType,0,15,0,0,0,2,0,1,0,1
VadereState,org.vadere.state.types,EikonalSolverType,47,93,26,0,2,16,15,1,2,1
VadereState,org.vadere.state.types,ScenarioElementType,6,94,0,0,2,15,2,2,2,2
VadereState,org.vadere.state.types,UpdateType,45,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.types,TrafficLightPhase,21,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.types,SearchType,21,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.types,IntegratorType,0,39,0,0,0,2,0,1,0,1
VadereState,org.vadere.state.types,GradientProviderType,39,0,0,0,7,0,1,0,1,0
VadereState,org.vadere.state.attributes.processor.enums,SpeedCalculationStrategy,21,0,0,0,4,0,1,0,1,0
VadereState,org.vadere.state.attributes.processor,AttributesAreaDensityCountingProcessor,3,0,0,0,1,0,1,0,1,0
VadereState,org.vadere.state.attributes.processor,AttributesMaxOverlapProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesMeshProcessor,39,0,0,0,16,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianLastPositionProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesTestProcessor,15,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesAreaProcessor,15,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianWaitingEndTimeProcessor,15,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesFundamentalDiagramDProcessor,30,0,0,0,13,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesTestProcessor.Result,21,0,0,0,1,0,1,0,1,0
VadereState,org.vadere.state.attributes.processor,AttributesLogEventProcessor,51,0,0,0,21,0,9,0,9,0
VadereState,org.vadere.state.attributes.processor,AttributesCrossingTimeProcessor,15,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesFootstepGroupIDProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesTestPedestrianWaitingTimeProcessor,40,0,0,0,15,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesTestNumberOverlapsProcessor,24,0,0,0,10,0,5,0,5,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianPotentialProcessor,36,0,0,0,15,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesMeshDensityCountingProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianVelocityProcessor,24,0,0,0,10,0,5,0,5,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianNearbyProcessor,27,0,0,0,9,0,5,0,5,0
VadereState,org.vadere.state.attributes.processor,AttributesSpeedInAreaProcessorUsingAgentTrajectory,37,0,0,0,15,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesMeanPedestrianEvacuationTimeProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesFundamentalDiagramAProcessor,30,0,0,0,13,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesMeshPedStimulusCountingProcessor,27,0,0,0,11,0,5,0,5,0
VadereState,org.vadere.state.attributes.processor,AttributesFloorFieldProcessor,21,0,0,0,9,0,5,0,5,0
VadereState,org.vadere.state.attributes.processor,AttributesMaxAreaDensityVoronoiProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesParadeLengthProcessor,42,0,0,0,18,0,9,0,9,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianVelocityByTrajectoryProcessor,24,0,0,0,10,0,5,0,5,0
VadereState,org.vadere.state.attributes.processor,AttributesOffsetPositionProcessor,19,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianPositionProcessor,15,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesTestPedestrianEvacuationTimeProcessor,40,0,0,0,15,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianPotentialProcessor.PotentialType,27,0,0,0,2,0,1,0,1,0
VadereState,org.vadere.state.attributes.processor,AttributesFundamentalDiagramEProcessor,30,0,0,0,13,0,7,0,7,0
VadereState,org.vadere.state.attributes.processor,AttributesFlowProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesTestOptimizationMetricProcessor,33,0,0,0,11,0,11,0,11,0
VadereState,org.vadere.state.attributes.processor,AttributesNumberOverlapsProcessor,12,0,0,0,5,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianWaitingTimeProcessor,15,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesAreaDensityVoronoiProcessor,15,0,0,0,6,0,3,0,3,0
VadereState,org.vadere.state.attributes.processor,AttributesPedestrianFlowProcessor,21,0,0,0,9,0,5,0,5,0
