GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VadereUtils,org.vadere.util.io.filewatcher,LockFileHandler.LockInfo,27,0,0,0,2,0,1,0,1,0
VadereUtils,org.vadere.util.io.filewatcher,TimeStepFileHandler,117,0,8,0,31,0,9,0,5,0
VadereUtils,org.vadere.util.io.filewatcher,WatchDir,287,0,48,0,81,0,31,0,7,0
VadereUtils,org.vadere.util.io.filewatcher,TransitumPedestrianState,35,0,0,0,11,0,5,0,5,0
VadereUtils,org.vadere.util.io.filewatcher,LockFileHandler,99,0,10,0,30,0,11,0,6,0
VadereUtils,org.vadere.util.io.filewatcher,WatchDir.new SimpleFileVisitor() {...},12,0,0,0,3,0,2,0,2,0
VadereUtils,org.vadere.util.factory.outputfiles,OutputFileBaseFactory,36,0,0,0,6,0,4,0,4,0
VadereUtils,org.vadere.util.factory.outputfiles,OutputFileFactoryObject,23,0,0,0,8,0,4,0,4,0
VadereUtils,org.vadere.util.opencl.examples,CLVectorSum,484,0,8,0,100,0,18,0,14,0
VadereUtils,org.vadere.util.opencl.examples,InfoUtils,248,44,2,2,49,11,12,4,10,4
VadereUtils,org.vadere.util.opencl.examples,CLDemo,648,0,33,0,161,0,31,0,13,0
VadereUtils,org.vadere.util.logging,StdOutErrLog.new PrintStream() {...},15,0,0,0,4,0,2,0,2,0
VadereUtils,org.vadere.util.logging,StdOutErrLog.new PrintStream() {...},15,0,0,0,4,0,2,0,2,0
VadereUtils,org.vadere.util.logging,StdOutErrLog,29,0,0,0,8,0,5,0,5,0
VadereUtils,org.vadere.util.logging,LogLevel,77,0,8,0,27,0,11,0,4,0
VadereUtils,org.vadere.util.logging,Timer,48,0,0,0,13,0,6,0,6,0
VadereUtils,org.vadere.util.logging,Logger,1216,62,2,0,224,14,111,6,110,6
VadereUtils,org.vadere.util.factory.processors,Flag,70,0,8,0,13,0,9,0,5,0
VadereUtils,org.vadere.util.factory.processors,ProcessorFactoryObject,24,0,0,0,8,0,4,0,4,0
VadereUtils,org.vadere.util.factory.processors,ProcessorBaseFactory,80,0,2,0,14,0,9,0,8,0
VadereUtils,org.vadere.util.test,FractionProbabilityNormalization,96,0,8,0,17,0,7,0,3,0
VadereUtils,org.vadere.util.test,TestResourceHandler,81,0,6,0,25,0,10,0,7,0
VadereUtils,org.vadere.util.test,TestUtils,40,0,2,0,13,0,4,0,3,0
VadereUtils,org.vadere.util.config,VadereConfig,531,0,14,0,109,0,15,0,8,0
VadereUtils,org.vadere.util.math,MathUtil,971,195,51,7,122,28,52,6,26,3
VadereUtils,org.vadere.util.math,DistanceFunction,83,0,4,0,22,0,7,0,5,0
VadereUtils,org.vadere.util.math,IDistanceFunction,298,0,22,0,47,0,34,0,23,0
VadereUtils,org.vadere.util.math,DistanceFunctionTarget,33,0,2,0,9,0,3,0,2,0
VadereUtils,org.vadere.util.math,TruncatedNormalDistribution,7,45,3,5,2,10,3,3,0,2
VadereUtils,org.vadere.util.math,GoldenSectionSearch,113,0,8,0,15,0,8,0,4,0
VadereUtils,org.vadere.util.math,Convolution,99,894,18,76,19,132,18,50,4,17
VadereUtils,org.vadere.util.math,InterpolationUtil,1424,0,53,0,140,0,43,0,15,0
VadereUtils,org.vadere.util.math,FourierTransformation,27,0,0,0,7,0,3,0,3,0
VadereUtils,org.vadere.util.data.aabb,AABBTree,265,0,22,0,55,0,17,0,6,0
VadereUtils,org.vadere.util.data.aabb,AABBNode,55,0,4,0,21,0,16,0,14,0
VadereUtils,org.vadere.util.parallel,AParallelWorker,6,0,0,0,3,0,1,0,1,0
VadereUtils,org.vadere.util.parallel,ParallelWorkerUtil,29,0,6,0,12,0,8,0,5,0
VadereUtils,org.vadere.util.parallel,CountableParallelWorker,19,0,0,0,6,0,3,0,3,0
VadereUtils,org.vadere.util.geometry.shapes,IPoint,65,52,15,1,14,6,12,6,4,6
VadereUtils,org.vadere.util.geometry.shapes,VDisc,19,0,0,0,5,0,3,0,3,0
VadereUtils,org.vadere.util.geometry.shapes,VTriangle,160,552,24,26,19,70,28,19,9,13
VadereUtils,org.vadere.util.geometry.shapes,VPoint,285,260,53,17,49,41,47,23,15,20
VadereUtils,org.vadere.util.geometry.shapes,VRectangle,456,253,41,17,52,34,38,14,14,9
VadereUtils,org.vadere.util.geometry.shapes,VCircleSector,291,0,40,0,34,0,35,0,15,0
VadereUtils,org.vadere.util.geometry.shapes,VShape,298,96,8,2,41,18,14,6,9,6
VadereUtils,org.vadere.util.geometry.shapes,ICircleSector,76,0,0,0,7,0,6,0,6,0
VadereUtils,org.vadere.util.geometry.shapes,VCone,187,68,25,5,15,12,18,4,4,3
VadereUtils,org.vadere.util.geometry.shapes,VRing,238,121,21,19,43,28,36,14,23,7
VadereUtils,org.vadere.util.geometry.shapes,Vector2D,110,61,2,4,13,13,10,6,9,4
VadereUtils,org.vadere.util.geometry.shapes,VPolygon,1371,329,103,25,221,70,79,22,23,14
